"Wahlkreis-
schlüssel",Wahlkreisname,Wahlvorschlagsträger,"Listenplatz-
nummer","Bewerber im
Stimmkreis",Titel,(Adels)zusatz,Vorname,Nachname,Geburtsjahr
1,Oberbayern,GRÜNE,439,,,,Andrea,Rosner,1962
1,Oberbayern,GRÜNE,440,102,,,Andreas,Baier,1973
1,Oberbayern,GRÜNE,441,,,,Sabine,Nallinger,1963
1,Oberbayern,GRÜNE,442,,Dr.,,Sepp,Dürr,1953
1,Oberbayern,GRÜNE,443,,,,Walburga,Mörtl-Körner,1957
1,Oberbayern,GRÜNE,444,,,,Albert,Aschauer,1961
1,Oberbayern,GRÜNE,445,,,,Angelika,Pilz-Strasser,1955
1,Oberbayern,GRÜNE,446,,Dr.,,Rupert,Ebner,1953
1,Oberbayern,GRÜNE,447,,,,Anna Sophia,Körner,1995
1,Oberbayern,GRÜNE,448,,,,Gerhard,Waas,1962
1,Oberbayern,GRÜNE,449,,,,Marie,Freitag,1989
1,Oberbayern,GRÜNE,450,,Dr.,,Florian,Roth,1967
1,Oberbayern,GRÜNE,451,,,,Stefanie,König,1968
1,Oberbayern,GRÜNE,452,,,,Alexander,Müllejans,1957
1,Oberbayern,GRÜNE,453,,,,Carmen,Dullinger-Oßwald,1951
1,Oberbayern,GRÜNE,454,,,,Anna,Schmidhuber,1988
1,Oberbayern,GRÜNE,455,,,,Luise,Krispenz,1989
1,Oberbayern,GRÜNE,456,,,,Alexander,Miklósy,1949
1,Oberbayern,GRÜNE,457,,,,Barbara,Prügl,1961
1,Oberbayern,GRÜNE,458,,,,Bernd,Pfitzner,1968
1,Oberbayern,GRÜNE,459,,,,Johanna,Sührig,1999
1,Oberbayern,GRÜNE,460,,,,Johannes,Küster,1968
1,Oberbayern,GRÜNE,461,,,,Jutta,Koller,1956
1,Oberbayern,FDP,501,127,,,Martin,Hagen,1981
1,Oberbayern,FDP,502,105,,,Albert,Duin,1953
1,Oberbayern,FDP,503,121,,,Ursula,Lex,1964
1,Oberbayern,FDP,504,102,,,Gabriele,Neff,1957
1,Oberbayern,FDP,505,130,Dr.,,Walter,Buggisch,1969
1,Oberbayern,FDP,506,129,,,Britta,Hundesrügge,1967
1,Oberbayern,FDP,507,108,Dr.,,Wolfgang,Heubisch,1946
1,Oberbayern,FDP,508,119,,,Jakob,Schäuble,1983
1,Oberbayern,FDP,509,104,,,Andreas,Keck,1963
1,Oberbayern,FDP,510,123,,,Thomas,Jännert,1977
1,Oberbayern,FDP,511,109,,,Anke,Pöhlmann,1989
1,Oberbayern,FDP,512,131,,,Martin,Zeil,1956
1,Oberbayern,FDP,513,103,,,Julika,Sandt,1971
1,Oberbayern,FDP,514,101,,,Sabrina,Böcking,1986
1,Oberbayern,FDP,515,111,,,Fritz,Haugg,1969
1,Oberbayern,FDP,516,124,,,Helmut,Markwort,1936
1,Oberbayern,FDP,517,128,,,Michael,Linnerer,1980
1,Oberbayern,FDP,518,117,Dr.,,Jens,Barschdorf,1982
1,Oberbayern,FDP,519,106,,,Klement,Bezdeka,1979
1,Oberbayern,FDP,520,114,,,Alexander,Müller,1959
1,Oberbayern,FDP,521,118,,,Ulrich,Bode,1962
1,Oberbayern,FDP,522,122,,,Peter,Corticelli,1970
1,Oberbayern,FDP,523,107,,,Manfred,Krönauer,1974
1,Oberbayern,FDP,524,120,,,Ulla,Schäfer,1969
1,Oberbayern,FDP,525,126,,,Josef,Schäch,1947
1,Oberbayern,FDP,526,116,,,Christian,Korn,1974
1,Oberbayern,FDP,527,110,Dr.,,Rudolf,Saller,1963
1,Oberbayern,FDP,528,113,Dr.,,Frank,Sommerfeld,1966
1,Oberbayern,FDP,529,115,,,Thomas,Schön,1979
1,Oberbayern,FDP,530,112,,,Wilhelm,Gschossmann,1955
1,Oberbayern,FDP,531,125,,Freiherr von,Michael,Gumppenberg,1965
1,Oberbayern,FDP,532,,,,Renate,Will,1947
1,Oberbayern,FDP,533,,,,Cécile,Prinzbach,1970
1,Oberbayern,FDP,534,,,,Thomas,Ranft,1953
1,Oberbayern,FDP,535,,,,Hildebrecht,Braun,1944
1,Oberbayern,FDP,536,,,,Anna,Ahlfeld,1992
1,Oberbayern,FDP,537,,,,Katharina,Walter,1984
1,Oberbayern,FDP,538,,Dr.,,Hannes,Hartung,1973
1,Oberbayern,FDP,539,,,,Klaus,Breil,1945
1,Oberbayern,FDP,540,,,,Maximilian,Gawlik,1992
1,Oberbayern,FDP,541,,,,Heinz,Hilgendorf,1943
1,Oberbayern,FDP,542,,,,Vaclav,Cerveny,1961
1,Oberbayern,FDP,543,,,,Beate,Weltin,1956
1,Oberbayern,FDP,544,,,,Johannes,Hohenthaner,1967
1,Oberbayern,FDP,545,,Dr.,,Martin,Alberti,1975
1,Oberbayern,FDP,546,,,,Christian,Tietgen,1980
1,Oberbayern,FDP,547,,,,Jörg,Scholler,1944
1,Oberbayern,FDP,548,,,,Andreas,Teichmann,1973
1,Oberbayern,FDP,549,,,,Wilhelm,Boneberger,1978
1,Oberbayern,FDP,550,,,,Antje,Helmers,1980
1,Oberbayern,FDP,551,,,,Thomas,Neudert,1975
1,Oberbayern,FDP,552,,Dr.,,Andreas,Schmohl,1972
1,Oberbayern,FDP,553,,,,Oliver,Brockmann,1983
1,Oberbayern,FDP,554,,,,Felix,Pautzke,1976
1,Oberbayern,FDP,555,,,,Josef,Samitz,1979
1,Oberbayern,FDP,556,,,,Beate,Gladbach,1969
1,Oberbayern,FDP,557,,,,Christian,Schunck,1972
1,Oberbayern,DIE LINKE,601,104,,,Ates,Gürpinar,1984
1,Oberbayern,DIE LINKE,602,119,,,Eva,Bulling-Schröter,1956
1,Oberbayern,DIE LINKE,603,109,,,Brigitte,Wolf,1962
1,Oberbayern,DIE LINKE,604,128,,,Christian,Peiker,1984
1,Oberbayern,DIE LINKE,605,106,,,Julia,Killet,1981
1,Oberbayern,DIE LINKE,606,124,,,Bernhard,Baudler,1960
1,Oberbayern,DIE LINKE,607,103,,,Renate,Cullmann-Reder,1948
1,Oberbayern,DIE LINKE,608,117,Dr.,,Guido,Hoyer,1968
1,Oberbayern,DIE LINKE,609,,,,Annemarie,Fingert,1955
1,Oberbayern,DIE LINKE,610,102,,,Erol,Dogan,1965
1,Oberbayern,DIE LINKE,611,125,,,Gabriele,Nava,1964
1,Oberbayern,DIE LINKE,612,107,,,Moritz,Lindenthal,1999
1,Oberbayern,DIE LINKE,613,118,,,Ernestine,Martin-Köppl,1960
1,Oberbayern,DIE LINKE,614,113,,,Jonathan,Westermeier,1992
1,Oberbayern,DIE LINKE,615,,,,Laura-Christin,Popig,1993
1,Oberbayern,DIE LINKE,616,105,,,Tony,Guerra,1989
1,Oberbayern,DIE LINKE,617,108,,,Martina,Ripke,1962
1,Oberbayern,DIE LINKE,618,130,,,Michael,Reiter,1996
1,Oberbayern,DIE LINKE,619,,,,Ellen,Enderlein,1960
1,Oberbayern,DIE LINKE,620,114,Dr.,,Heinz,Fröhlich,1960
1,Oberbayern,DIE LINKE,621,,,,Eva,Schreiber,1958
1,Oberbayern,DIE LINKE,622,,,,Karl,Ischinger,1945
1,Oberbayern,DIE LINKE,623,,,,Ellen,Keller,1951
1,Oberbayern,DIE LINKE,624,,,,Lisa,Borchert,1995
1,Oberbayern,DIE LINKE,625,,,,Elfi,Padovan,1943
1,Oberbayern,DIE LINKE,626,127,Dr.,,Klaus,Weber-Teuber,1960
1,Oberbayern,DIE LINKE,627,,,,Julia,Auchter,1988
1,Oberbayern,DIE LINKE,628,,,,Andrea,El Nour,1964
1,Oberbayern,DIE LINKE,629,,,,Diana,Fingert,1975
1,Oberbayern,DIE LINKE,630,,,,Maria,Mayr,1989
1,Oberbayern,DIE LINKE,631,,,,Karin,Just,1950
1,Oberbayern,DIE LINKE,632,115,,,Dominik,Eigner,1988
1,Oberbayern,DIE LINKE,633,,,,Eva-Maria,Brunnemann,1956
1,Oberbayern,DIE LINKE,634,,,,Franziska,Klotz,1990
1,Oberbayern,DIE LINKE,635,,,,Herta,Hertel-Stockinger,1959
1,Oberbayern,DIE LINKE,636,129,,,Bernhard,Feilzer,1948
1,Oberbayern,DIE LINKE,637,116,,,Walter,Koppe,1957
1,Oberbayern,DIE LINKE,638,,,,Marina,Mayer,1981
1,Oberbayern,DIE LINKE,639,,,,Corinna,Wilde,1975
1,Oberbayern,DIE LINKE,640,,,,Manuela,Pertl,1962
1,Oberbayern,DIE LINKE,641,110,,,Patrick,Nitzsche,1992
1,Oberbayern,DIE LINKE,642,112,,,Michael,Raufer,1980
1,Oberbayern,DIE LINKE,643,120,,,Hansjoachim,Sprinz,1945
1,Oberbayern,DIE LINKE,644,101,,,Wolfgang,Seidel,1969
1,Oberbayern,DIE LINKE,645,121,,,Jörg,Hager,1945
1,Oberbayern,DIE LINKE,646,122,,,Philipp,Hackl,1997
1,Oberbayern,DIE LINKE,647,111,,,Elmar,Gehnen,1956
1,Oberbayern,DIE LINKE,648,126,,,Werner,de la Motte Rouge,1958
1,Oberbayern,DIE LINKE,649,123,,,Robert,Hamm,1989
1,Oberbayern,DIE LINKE,650,131,,,Rolf-Werner,Podlewski,1954
1,Oberbayern,DIE LINKE,651,,,,Stefanie,Kirchner,1975
1,Oberbayern,DIE LINKE,652,,,,Rafael,Pietsch,2000
1,Oberbayern,DIE LINKE,653,,Dr.,,Clemens,Pingel,1949
1,Oberbayern,DIE LINKE,654,,,,Jan,Tepperies,1971
1,Oberbayern,DIE LINKE,655,,,,Monika,Weidner,1966
1,Oberbayern,DIE LINKE,656,,,,Jürgen,Lohmüller-Kaupp,1946
1,Oberbayern,DIE LINKE,657,,,,Doris,Lazarowicz,1946
1,Oberbayern,DIE LINKE,658,,,,Erich,Utz,1959
1,Oberbayern,DIE LINKE,659,,,,Wolfgang,Schulz,1952
1,Oberbayern,DIE LINKE,660,,,,Uwe,Kroll,1957
1,Oberbayern,BP,701,128,,,Florian,Weber,1963
1,Oberbayern,BP,702,107,,,Richard,Progl,1979
1,Oberbayern,BP,703,104,,,Hubert,Dorn,1956
1,Oberbayern,BP,704,111,,,Josef,Lausch,1970
1,Oberbayern,BP,705,109,,,Mario,Schmidbauer,1952
1,Oberbayern,BP,706,131,,,Regina,Schropp,1973
1,Oberbayern,BP,707,127,,,Helmut,Freund,1990
1,Oberbayern,BP,708,120,,,Michael,Hofmann,1953
1,Oberbayern,BP,709,102,,,Eva,Caim,1947
1,Oberbayern,BP,710,130,,,Markus,Schupfner,1978
1,Oberbayern,BP,711,103,,,Johann,Altmann,1954
1,Oberbayern,BP,712,116,,,Andreas,Zimmer,1985
1,Oberbayern,BP,713,121,,,Loris-Marco,Gelesch,1965
1,Oberbayern,BP,714,114,,,Robert,Böhnlein,1970
1,Oberbayern,BP,715,122,,,Thomas,Drechsler,1971
1,Oberbayern,BP,716,105,,,Stephan,Mannseicher,1985
1,Oberbayern,BP,717,112,,,Konrad,Baueregger,1957
1,Oberbayern,BP,718,119,,,Michael,Barthelmes,1981
1,Oberbayern,BP,719,115,,,Wolfgang,Distler,1976
1,Oberbayern,BP,720,125,,,Christian,Ferstl,1971
1,Oberbayern,BP,721,123,Dr.,,Franz,Furche,1957
1,Oberbayern,BP,722,124,Dr.,,Albert,Geiger,1956
1,Oberbayern,BP,723,118,,,Sebastian,Kellerer,1989
1,Oberbayern,BP,724,101,,,Alexander,Müller,1979
1,Oberbayern,BP,725,113,,,Josef,Paintner,1953
1,Oberbayern,BP,726,129,,,Rupert,Pfänder,1965
1,Oberbayern,BP,727,126,,,Robert,Prado Diaz,1958
1,Oberbayern,BP,728,117,,,Herbert,Sachs,1979
1,Oberbayern,BP,729,106,,,Norbert,Seidl,1964
1,Oberbayern,BP,730,108,,,Angela,Settele,1960
1,Oberbayern,BP,731,110,,,Simon,Stitzl,1996
1,Oberbayern,BP,732,,,,Alfons,Baumgartner,1944
1,Oberbayern,BP,733,,,,Christian,Eckert,1947
1,Oberbayern,BP,734,,,,Christian,Fahrenschon,1964
1,Oberbayern,BP,735,,,,Sebastian,Fottner,1994
1,Oberbayern,BP,736,,,,Johann,Gattinger,1949
1,Oberbayern,BP,737,,,,Michael,Graf,1988
1,Oberbayern,BP,738,,,,Andreas,Heindl,1953
1,Oberbayern,BP,739,,,,Hans,Hort,1956
1,Oberbayern,BP,740,,,,Tanja,Kerer,1977
1,Oberbayern,BP,741,,,,Robert,Mayr,1944
1,Oberbayern,BP,742,,,,Horst,Münzinger,1961
1,Oberbayern,BP,743,,,,Matthias,Neugschwender,1990
1,Oberbayern,BP,744,,,,Hans Georg,Niedermeier,1969
1,Oberbayern,BP,745,,,,Dennis,Ponert,1992
1,Oberbayern,BP,746,,,,Anton,Schnitzer,1964
1,Oberbayern,BP,747,,,,Tobias,Schwaiger,1987
1,Oberbayern,BP,748,,,,Ulrich,Sibbers,1952
1,Oberbayern,BP,749,,,,Joachim,Stadlbauer,1955
1,Oberbayern,BP,750,,,,Annelies,Stefanutti-Bscheidl,1955
1,Oberbayern,BP,751,,,,Benno,Steiner,1959
1,Oberbayern,BP,752,,,,Dieter,Steininger,1959
1,Oberbayern,BP,753,,,,Dominik,Steinlehner,1989
1,Oberbayern,BP,754,,,,Andreas,Stoib,1989
1,Oberbayern,BP,755,,,,Heinz,Thannheiser,1938
1,Oberbayern,BP,756,,,,Marinus,Thurnhuber,1959
1,Oberbayern,BP,757,,,,Hans,Triebel,1953
1,Oberbayern,BP,758,,,,Georg,Wegele,1952
1,Oberbayern,BP,759,,,,Anton,Weigl,1963
1,Oberbayern,BP,760,,,,Georg,Weiß,1965
1,Oberbayern,BP,761,,,,Robert,Zehetmaier,1973
1,Oberbayern,ÖDP,801,108,,,Thomas,Prudlo,1966
1,Oberbayern,ÖDP,802,106,,,Sonja,Haider,1964
1,Oberbayern,ÖDP,803,116,,,Stephan,Treffler,1965
1,Oberbayern,ÖDP,804,114,,,Rosi,Reindl,1966
1,Oberbayern,ÖDP,805,,,,Emilia,Kirner,1997
1,Oberbayern,ÖDP,806,131,Dr.,,Maiken,Winter,1968
1,Oberbayern,ÖDP,807,128,,,Ludwig,Maier,1961
1,Oberbayern,ÖDP,808,103,Dr.,,Gwendolyn,Böhm,1974
1,Oberbayern,ÖDP,809,107,Dr.,,Andreas,Meißner,1965
1,Oberbayern,ÖDP,810,120,,,Robert,Sedlmayr,1966
1,Oberbayern,ÖDP,811,,,,Fritz,Lietsch,1957
1,Oberbayern,ÖDP,812,122,,,Reinhard,Retzer,1968
1,Oberbayern,ÖDP,813,127,,,Josef,Fortner,1960
1,Oberbayern,ÖDP,814,101,,,Michael,Schabl,1982
1,Oberbayern,ÖDP,815,124,,,Wilhelm,Streit,1958
1,Oberbayern,ÖDP,816,,,,Agnes,Edenhofer,1962
1,Oberbayern,ÖDP,817,110,,,Hans,Huber,1958
1,Oberbayern,ÖDP,818,112,,,Barbara,Paiva,1982
1,Oberbayern,ÖDP,819,118,,,Christian,Holdt,1966
1,Oberbayern,ÖDP,820,,,,Wolfgang,Buttner,1957
1,Oberbayern,ÖDP,821,125,,,Franz,Hofmaier,1952
1,Oberbayern,ÖDP,822,109,,,Benjamin,Zilker,1988
1,Oberbayern,ÖDP,823,105,,,Veronika,Kahl,1970
1,Oberbayern,ÖDP,824,129,,,Anastasia,Kühn,1996
1,Oberbayern,ÖDP,825,,,,Stephan,Giglberger,1967
1,Oberbayern,ÖDP,826,,,,Adrian,Heim,1964
1,Oberbayern,ÖDP,827,115,,,Maria,Lechner,1960
1,Oberbayern,ÖDP,828,119,,,Raimund,Köstler,1963
1,Oberbayern,ÖDP,829,102,,von,Klaus,Birgelen,1967
1,Oberbayern,ÖDP,830,126,,,Siegfried,Ebner,1960
1,Oberbayern,ÖDP,831,130,,,Sven,Kriesche,1963
1,Oberbayern,ÖDP,832,,,,Martin,Potschka,1976
1,Oberbayern,ÖDP,833,121,,,Peter,Limmer,1966
1,Oberbayern,ÖDP,834,,,,Willi,Reinbold,1952
1,Oberbayern,ÖDP,835,,,,Maria,Ecke-Bünger,1958
1,Oberbayern,ÖDP,836,,,,Hermann,Dietzinger,1955
1,Oberbayern,ÖDP,837,,,,Franziska,Spannagl,1948
1,Oberbayern,ÖDP,838,111,,,Markus,Gampl,1969
1,Oberbayern,ÖDP,839,,,,Richard,Fischer,1983
1,Oberbayern,ÖDP,840,,,,Tobias,Ruff,1976
1,Oberbayern,ÖDP,841,,,,Dieter,Kreis,1968
1,Oberbayern,ÖDP,842,123,,,Hanno,Sombach,1965
1,Oberbayern,ÖDP,843,113,,,Christopher,Hinz,1997
